company_id,year,sales,net_profit,operating_profit,borrowings,z_anomaly,iforest_flag
ABB,Dec 2012,1653,145,202.0,0.0,False,0
ABB,Mar 2014,2276,198,267.0,0.0,False,0
ABB,Mar 2015,2289,229,312.0,0.0,False,0
ABB,Mar 2016,2614,255,365.0,0.0,False,0
ABB,Mar 2017,2903,277,398.0,0.0,False,0
ABB,Mar 2018,3298,401,525.0,0.0,False,0
ABB,Mar 2019,3679,450,605.0,0.0,False,0
ABB,Mar 2020,4093,593,757.0,175.0,False,0
ABB,Mar 2021,4310,691,922.0,153.0,False,0
ABB,Mar 2022,4913,799,1082.0,152.0,False,0
ABB,Mar 2023,5349,949,1206.0,113.0,False,0
ABB,Mar 2024,5849,1201,1453.0,83.0,False,0
ABB,TTM,6066,1285,1547.0,0.0,False,0
ADANIENSOL,Mar 2014,0,0,0.0,0.0,False,0
ADANIENSOL,Mar 2015,131,-7,101.0,9701.0,False,0
ADANIENSOL,Mar 2016,2194,368,1927.0,8585.0,False,0
ADANIENSOL,Mar 2017,2876,416,1983.0,8975.0,False,0
ADANIENSOL,Mar 2018,3944,1143,2826.0,10428.0,False,0
ADANIENSOL,Mar 2019,7305,559,2778.0,20137.0,False,0
ADANIENSOL,Mar 2020,11416,706,4258.0,24246.0,False,0
ADANIENSOL,Mar 2021,9926,1290,3950.0,27095.0,False,0
ADANIENSOL,Mar 2022,11258,1236,4206.0,29902.0,False,0
ADANIENSOL,Mar 2023,13293,1281,4518.0,34270.0,False,0
ADANIENSOL,Mar 2024,16607,1196,5711.0,37070.0,False,0
ADANIENSOL,TTM,22099,589,6592.0,0.0,False,0
ADANIENT,Mar 2013,46375,1218,6021.0,69332.0,False,0
ADANIENT,Mar 2014,54947,2646,9383.0,71980.0,False,0
ADANIENT,Mar 2015,64465,2298,12450.0,83571.0,False,0
ADANIENT,Mar 2016,34008,1000,1684.0,19169.0,False,0
ADANIENT,Mar 2017,36533,925,1902.0,20846.0,False,0
ADANIENT,Mar 2018,35924,594,2038.0,17637.0,False,0
ADANIENT,Mar 2019,40379,506,1969.0,11243.0,False,0
ADANIENT,Mar 2020,43403,1040,2294.0,12419.0,False,0
ADANIENT,Mar 2021,39537,1046,2506.0,16227.0,False,0
ADANIENT,Mar 2022,69420,788,3714.0,41604.0,False,0
ADANIENT,Mar 2023,127540,2422,8818.0,53200.0,False,0
ADANIENT,Mar 2024,96421,3335,11377.0,65310.0,False,0
ADANIENT,TTM,102311,6086,13893.0,0.0,False,0
ADANIGREEN,Mar 2017,502,-47,403.0,4347.0,False,0
ADANIGREEN,Mar 2018,1480,-138,843.0,9864.0,False,0
ADANIGREEN,Mar 2019,2058,-475,1526.0,11142.0,False,0
ADANIGREEN,Mar 2020,2549,-68,1450.0,14866.0,False,0
ADANIGREEN,Mar 2021,3124,182,2241.0,24209.0,False,0
ADANIGREEN,Mar 2022,5133,489,3512.0,52832.0,False,0
ADANIGREEN,Mar 2023,7776,973,4970.0,54223.0,False,0
ADANIGREEN,Mar 2024,9220,1260,7318.0,64858.0,False,0
ADANIGREEN,TTM,10782,1928,8100.0,0.0,False,0
ADANIPORTS,Mar 2013,3577,1639,2382.0,11620.0,False,0
ADANIPORTS,Mar 2014,4830,1741,2919.0,12979.0,False,0
ADANIPORTS,Mar 2015,6152,2324,3902.0,17776.0,False,0
ADANIPORTS,Mar 2016,7109,2856,4577.0,22342.0,False,0
ADANIPORTS,Mar 2017,8439,3902,5418.0,22214.0,False,0
ADANIPORTS,Mar 2018,11323,3690,7157.0,22370.0,False,0
ADANIPORTS,Mar 2019,10925,4045,6596.0,27712.0,False,0
ADANIPORTS,Mar 2020,11873,3785,5947.0,30242.0,False,0
ADANIPORTS,Mar 2021,12550,5049,8688.0,35855.0,False,0
ADANIPORTS,Mar 2022,17119,4953,9528.0,47935.0,False,0
ADANIPORTS,Mar 2023,20852,5391,10947.0,53434.0,False,0
ADANIPORTS,Mar 2024,26711,8104,15589.0,49470.0,False,0
ADANIPORTS,TTM,28443,9743,17165.0,0.0,False,0
ADANIPORTS,Mar 2013,3577,1639,2382.0,11620.0,False,0
ADANIPORTS,Mar 2014,4830,1741,2919.0,12979.0,False,0
ADANIPORTS,Mar 2015,6152,2324,3902.0,17776.0,False,0
ADANIPORTS,Mar 2016,7109,2856,4577.0,22342.0,False,0
ADANIPORTS,Mar 2017,8439,3902,5418.0,22214.0,False,0
ADANIPORTS,Mar 2018,11323,3690,7157.0,22370.0,False,0
ADANIPORTS,Mar 2019,10925,4045,6596.0,27712.0,False,0
ADANIPORTS,Mar 2020,11873,3785,5947.0,30242.0,False,0
ADANIPORTS,Mar 2021,12550,5049,8688.0,35855.0,False,0
ADANIPORTS,Mar 2022,17119,4953,9528.0,47935.0,False,0
ADANIPORTS,Mar 2023,20852,5391,10947.0,53434.0,False,0
ADANIPORTS,Mar 2024,26711,8104,15589.0,49470.0,False,0
ADANIPORTS,TTM,28443,9743,17165.0,0.0,False,0
ADANIPOWER,Mar 2013,6692,-2295,960.0,41795.0,False,0
ADANIPOWER,Mar 2014,15328,-291,4593.0,44150.0,False,0
ADANIPOWER,Mar 2015,18683,-816,4678.0,44742.0,False,0
ADANIPOWER,Mar 2016,25377,551,8802.0,52729.0,False,0
ADANIPOWER,Mar 2017,22616,-6174,5980.0,52484.0,False,0
ADANIPOWER,Mar 2018,20304,-2103,5436.0,52835.0,False,0
ADANIPOWER,Mar 2019,23884,-984,4983.0,46980.0,False,0
ADANIPOWER,Mar 2020,26468,-2275,5734.0,55199.0,False,0
ADANIPOWER,Mar 2021,26221,1270,8688.0,52519.0,False,0
ADANIPOWER,Mar 2022,27711,4912,9881.0,49145.0,False,0
ADANIPOWER,Mar 2023,38773,10727,10096.0,42350.0,False,0
ADANIPOWER,Mar 2024,50351,20829,18228.0,34616.0,False,0
ADANIPOWER,TTM,54650,12686,20965.0,0.0,False,0
AMBUJACEM,Dec 2012,9749,1292,2473.0,60.0,False,0
AMBUJACEM,Dec 2013,9161,1278,1669.0,48.0,False,0
