id,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,net_margin,operating_margin,interest_burden
61,ABB,Dec 2012,1653,1451,202.0,12.0,33,0,19,215,33.0,145,68.0,25.0,8.771929824561402,12.220205686630369,0.0
62,ABB,Mar 2014,2276,2009,267.0,12.0,49,0,22,295,33.0,198,93.0,25.0,8.699472759226714,11.731107205623902,0.0
63,ABB,Mar 2015,2289,1977,312.0,14.0,48,0,15,344,34.0,229,108.0,29.0,10.004368719965049,13.630406290956751,0.0
64,ABB,Mar 2016,2614,2250,365.0,14.0,50,3,14,398,36.0,255,120.0,29.0,9.755164498852334,13.963274674827849,0.11476664116296864
65,ABB,Mar 2017,2903,2505,398.0,14.0,57,2,16,436,37.0,277,130.0,31.0,9.541853255253187,13.709955218739237,0.06889424733034792
66,ABB,Mar 2018,3298,2774,525.0,16.0,117,4,16,621,35.0,401,189.0,29.0,12.15888417222559,15.918738629472406,0.1212856276531231
67,ABB,Mar 2019,3679,3074,605.0,16.0,113,2,17,699,36.0,450,212.0,31.0,12.231584669747214,16.444686055993476,0.05436259853220984
68,ABB,Mar 2020,4093,3336,757.0,18.0,114,9,60,803,26.0,593,279.0,90.0,14.488150500855118,18.49499144881505,0.21988761299780113
69,ABB,Mar 2021,4310,3388,922.0,21.0,81,18,58,926,25.0,691,325.0,85.0,16.03248259860789,21.392111368909514,0.41763341067285387
70,ABB,Mar 2022,4913,3832,1082.0,22.0,83,19,66,1080,26.0,799,376.0,73.0,16.26297577854671,22.023203745165887,0.3867290860981071
71,ABB,Mar 2023,5349,4143,1206.0,23.0,154,16,70,1274,25.0,949,447.0,73.0,17.74163395027108,22.546270330902974,0.29912133108992334
72,ABB,Mar 2024,5849,4396,1453.0,25.0,248,12,71,1618,26.0,1201,565.0,73.0,20.533424517011454,24.84185330825782,0.20516327577363652
73,ABB,TTM,6066,4519,1547.0,26.0,265,11,72,1728,,1285,605.0,,21.183646554566433,25.502802505769868,0.1813386086383119
86,ADANIENSOL,Mar 2014,0,0,0.0,,0,0,0,0,0.0,0,0.0,,,,
87,ADANIENSOL,Mar 2015,131,29,101.0,78.0,3,73,37,-5,34.0,-7,0.0,0.0,-5.343511450381679,77.09923664122137,55.72519083969466
88,ADANIENSOL,Mar 2016,2194,267,1927.0,88.0,70,957,560,480,23.0,368,3.0,0.0,16.773017319963536,87.83044667274385,43.618960802187786
89,ADANIENSOL,Mar 2017,2876,893,1983.0,69.0,22,904,569,532,22.0,416,4.0,0.0,14.464534075104313,68.94993045897078,31.432545201668983
90,ADANIENSOL,Mar 2018,3944,1118,2826.0,72.0,111,886,579,1472,22.0,1143,10.0,0.0,28.98073022312373,71.65314401622717,22.46450304259635
91,ADANIENSOL,Mar 2019,7305,4528,2778.0,38.0,336,1391,882,840,33.0,559,5.0,0.0,7.652292950034223,38.02874743326489,19.041752224503764
92,ADANIENSOL,Mar 2020,11416,7158,4258.0,37.0,261,2238,1174,1107,36.0,706,7.0,0.0,6.184302733006307,37.29852838121934,19.604064470918008
93,ADANIENSOL,Mar 2021,9926,5976,3950.0,40.0,1115,2117,1329,1620,20.0,1290,11.0,0.0,12.996171670360667,39.79447914567802,21.327825911746928
94,ADANIENSOL,Mar 2022,11258,7051,4206.0,37.0,1286,2365,1427,1700,27.0,1236,11.0,0.0,10.978859477704743,37.360099484810796,21.00728370936223
95,ADANIENSOL,Mar 2023,13293,8775,4518.0,34.0,1583,2781,1608,1712,25.0,1281,11.0,0.0,9.636650868878357,33.98781313473256,20.92078537576168
96,ADANIENSOL,Mar 2024,16607,10896,5711.0,30.0,611,2767,1776,1780,33.0,1196,10.0,0.0,7.201782380923707,34.38911302462817,16.66164870235443
97,ADANIENSOL,TTM,22099,15507,6592.0,,-844,3183,1912,653,,589,6.0,,2.665278971899181,29.829404045431918,14.40336666817503
98,ADANIENT,Mar 2013,46375,40354,6021.0,13.0,1775,3492,2298,2005,39.0,1218,15.0,10.0,2.6264150943396225,12.983288409703503,7.529919137466306
99,ADANIENT,Mar 2014,54947,45564,9383.0,17.0,1157,5703,3223,1614,-64.0,2646,20.0,7.0,4.815549529546654,17.07645549347553,10.379092580122663
100,ADANIENT,Mar 2015,64465,52015,12450.0,19.0,792,7056,3522,2663,14.0,2298,18.0,8.0,3.564725044597844,19.312805398278137,10.945474288373536
101,ADANIENT,Mar 2016,34008,32325,1684.0,5.0,1044,1357,314,1056,7.0,1000,9.0,4.0,2.9404845918607387,4.951776052693484,3.9902375911550223
102,ADANIENT,Mar 2017,36533,34631,1902.0,5.0,749,1257,315,1079,25.0,925,9.0,4.0,2.5319574083705145,5.206251881860236,3.4407248241316073
103,ADANIENT,Mar 2018,35924,33886,2038.0,6.0,363,1250,664,487,23.0,594,7.0,6.0,1.653490702594366,5.673087629439929,3.479567976839996
104,ADANIENT,Mar 2019,40379,38409,1969.0,5.0,504,1625,390,459,32.0,506,7.0,6.0,1.2531266252259838,4.876297085118502,4.024369102751431
105,ADANIENT,Mar 2020,43403,41108,2294.0,5.0,872,1572,472,1122,29.0,1040,10.0,10.0,2.3961477317236133,5.285348939013432,3.621869456028385
106,ADANIENT,Mar 2021,39537,37031,2506.0,6.0,494,1377,537,1086,31.0,1046,8.0,12.0,2.645623087234742,6.338366593317652,3.48281356703847
107,ADANIENT,Mar 2022,69420,65707,3714.0,5.0,1012,2526,1248,952,50.0,788,7.0,14.0,1.135119562085854,5.3500432152117545,3.638720829732066
108,ADANIENT,Mar 2023,127540,118722,8818.0,7.0,834,3969,2436,3247,32.0,2422,22.0,6.0,1.899012074643249,6.913909361768857,3.111964873765093
109,ADANIENT,Mar 2024,96421,85044,11377.0,12.0,1146,4555,3042,4926,33.0,3335,28.0,5.0,3.458790097592848,11.799296833677312,4.724074631045104
110,ADANIENT,TTM,102311,88418,13893.0,14.0,1489,4150,3541,7691,,6086,49.0,,5.948529483633235,13.579185033867326,4.056259835208335
111,ADANIGREEN,Mar 2017,502,98,403.0,80.0,80,334,333,-184,-75.0,-47,0.0,0.0,-9.362549800796813,80.2788844621514,66.53386454183267
112,ADANIGREEN,Mar 2018,1480,637,843.0,57.0,42,552,543,-210,-35.0,-138,-1.0,0.0,-9.324324324324325,56.95945945945946,37.2972972972973
113,ADANIGREEN,Mar 2019,2058,532,1526.0,74.0,73,1121,1062,-585,-19.0,-475,-3.0,0.0,-23.080660835762874,74.14965986394559,54.47035957240038
114,ADANIGREEN,Mar 2020,2549,1098,1450.0,57.0,-111,995,394,-50,23.0,-68,0.0,0.0,-2.6677128285602194,56.88505296194586,39.03491565319733
115,ADANIGREEN,Mar 2021,3124,883,2241.0,72.0,391,1953,486,193,6.0,182,1.0,0.0,5.8258642765685025,71.73495518565942,62.516005121638926
116,ADANIGREEN,Mar 2022,5133,1621,3512.0,68.0,507,2617,849,553,12.0,489,3.0,0.0,9.526592635885448,68.42002727449834,50.98383011883889
