company_id,forecast_year,forecast_sales
RELIANCE,2025,951288.5286480483
IOC,2025,806488.0349738847
LICI,2025,894917.5521231896
ONGC,2025,605585.5567621866
BPCL,2025,467804.7716154928
TATAMOTORS,2025,529888.999486059
SBIN,2025,527532.9995022713
TATASTEEL,2025,240431.1624293256
TCS,2025,257065.7017139117
HINDALCO,2025,228487.45848961524
LT,2025,254969.9614129202
HDFCBANK,2025,396543.99691848457
NTPC,2025,188433.18746271645
BHARTIARTL,2025,160819.0006251037
COALINDIA,2025,149053.17167910247
M&M,2025,145476.80612370593
VEDL,2025,150758.52726881334
INFY,2025,163527.74801526673
JSWSTEEL,2025,187441.24527414565
ICICIBANK,2025,197964.9997176081
